user_id,first_name,To,From,Subject,body
500,Willie,Willie <WillieESharp@fleckens.hu>,sanjmeh@gmail.com,Your total count of interactions till date is 60,"Hi, Willie.
Your Grasp Index as of today is 91.85%.
Thanks for participating in the class!
"
501,Orville,Orville <OrvilleNSmith@dayrep.com>,sanjmeh@gmail.com,Your total count of interactions till date is 75,"Hi, Orville.
Your Grasp Index as of today is 28.64%.
Thanks for participating in the class!
"
502,John,John <JohnSSmith@jourrapide.com>,sanjmeh@gmail.com,Your total count of interactions till date is 55,"Hi, John.
Your Grasp Index as of today is 43.43%.
Thanks for participating in the class!
"
503,Carolyn,Carolyn <CarolynMBeck@rhyta.com>,sanjmeh@gmail.com,Your total count of interactions till date is 54,"Hi, Carolyn.
Your Grasp Index as of today is 13.48%.
Thanks for participating in the class!
"
504,Leo,Leo <LeoJArrington@jourrapide.com>,sanjmeh@gmail.com,Your total count of interactions till date is 76,"Hi, Leo.
Your Grasp Index as of today is 24.27%.
Thanks for participating in the class!
"
505,Lila,Lila <LilaJRenfro@rhyta.com>,sanjmeh@gmail.com,Your total count of interactions till date is 67,"Hi, Lila.
Your Grasp Index as of today is 33.06%.
Thanks for participating in the class!
"
506,Dolores,Dolores <DoloresPLindemann@fleckens.hu>,sanjmeh@gmail.com,Your total count of interactions till date is 57,"Hi, Dolores.
Your Grasp Index as of today is 35.23%.
Thanks for participating in the class!
"
507,Liz,Liz <LizNGodwin@gustr.com>,sanjmeh@gmail.com,Your total count of interactions till date is 51,"Hi, Liz.
Your Grasp Index as of today is 37.94%.
Thanks for participating in the class!
"
508,Faith,Faith <FaithDPotts@superrito.com>,sanjmeh@gmail.com,Your total count of interactions till date is 54,"Hi, Faith.
Your Grasp Index as of today is 27.93%.
Thanks for participating in the class!
"
509,Shirley,Shirley <ShirleyDGlenn@dayrep.com>,sanjmeh@gmail.com,Your total count of interactions till date is 59,"Hi, Shirley.
Your Grasp Index as of today is 10.46%.
Thanks for participating in the class!
"
510,Karen,Karen <KarenRRodriguez@armyspy.com>,sanjmeh@gmail.com,Your total count of interactions till date is 60,"Hi, Karen.
Your Grasp Index as of today is 13.51%.
Thanks for participating in the class!
"
